Date, SB 3000TL-21 534 [kWh], STP 7000TL-20 886 [kWh]
01/01/20, 2.722, 3.944
02/01/20, 0.985, 2.154
03/01/20, 0.390, 0.814
04/01/20, 2.137, 4.428
05/01/20, 0.674, 1.432
06/01/20, 4.319, 7.779
07/01/20, 1.885, 2.898
08/01/20, 0.366, 0.751
09/01/20, 0.324, 0.665
10/01/20, 1.115, 2.383
11/01/20, 2.673, 5.778
12/01/20, 0.853, 1.817
13/01/20, 2.838, 5.573
14/01/20, 0.867, 1.849
15/01/20, 1.654, 3.724
16/01/20, 4.608, 8.701
17/01/20, 0.844, 1.763
18/01/20, 3.498, 5.975
19/01/20, 2.943, 6.397
20/01/20, 1.478, 3.114
21/01/20, 3.775, 6.693
22/01/20, 1.973, 4.121
23/01/20, 0.786, 1.645
24/01/20, 0.352, 0.732
25/01/20, 0.677, 1.440
26/01/20, 4.565, 9.223
27/01/20, 1.272, 2.643
28/01/20, 3.377, 7.059
29/01/20, 4.742, 8.124
30/01/20, 2.445, 5.198
31/01/20, 1.450, 3.013

01/02/20, 1.702, 3.603
02/02/20, 1.220, 2.614
03/02/20, 1.797, 3.782
04/02/20, 2.591, 5.687
05/02/20, 5.886, 10.847
06/02/20, 2.908, 7.421
07/02/20, 7.113, 16.051
08/02/20, 2.056, 4.609
09/02/20, 2.322, 4.813
10/02/20, 3.116, 6.723
11/02/20, 5.027, 10.025
12/02/20, 5.856, 12.524
13/02/20, 2.764, 5.879
14/02/20, 3.748, 7.891
15/02/20, 4.362, 9.277
16/02/20, 1.614, 3.429
17/02/20, 4.892, 10.859
18/02/20, 3.724, 8.098
19/02/20, 5.083, 11.141
20/02/20, 2.748, 5.663
21/02/20, 4.343, 8.968
22/02/20, 1.423, 2.968
23/02/20, 0.652, 1.361
24/02/20, 1.272, 2.624
25/02/20, 4.495, 10.890
26/02/20, 3.370, 7.303
27/02/20, 1.143, 2.378
28/02/20, 4.909, 10.486
29/02/20, 3.656, 7.412

01/03/20, 5.201, 10.471
02/03/20, 2.621, 5.272
03/03/20, 6.795, 14.365
04/03/20, 5.514, 11.306
05/03/20, 1.460, 2.988
06/03/20, 3.487, 7.134
07/03/20, 7.995, 17.149
08/03/20, 2.577, 5.242
09/03/20, 5.601, 11.901
10/03/20, 1.413, 2.886
11/03/20, 6.599, 14.976
12/03/20, 11.145, 25.208
13/03/20, 8.023, 16.985
14/03/20, 7.281, 14.106
15/03/20, 7.015, 15.842
16/03/20, 9.991, 20.627
17/03/20, 14.957, 35.350
18/03/20, 13.918, 34.860
19/03/20, 11.144, 23.409
20/03/20, 2.716, 5.597
21/03/20, 12.785, 29.582
22/03/20, 15.712, 41.172
23/03/20, 11.430, 40.143
24/03/20, 14.772, 40.039
25/03/20, 15.249, 39.394
26/03/20, 14.900, 38.592
27/03/20, 15.011, 35.624
28/03/20, 13.865, 37.152
29/03/20, 6.585, 13.086
30/03/20, 8.643, 17.626
31/03/20, 14.597, 43.920

01/04/20, 13.715, 42.135
02/04/20, 7.708, 14.073
03/04/20, 10.666, 29.717
04/04/20, 15.689, 42.208
05/04/20, 12.454, 42.130
06/04/20, 11.460, 34.853
07/04/20, 14.287, 38.451
08/04/20, 14.558, 36.401
09/04/20, 14.289, 40.106
10/04/20, 15.211, 41.694
11/04/20, 11.474, 41.047
12/04/20, 10.881, 27.943
13/04/20, 13.585, 43.451
14/04/20, 11.151, 26.703
15/04/20, 14.054, 39.348
16/04/20, 11.985, 41.036
17/04/20, 14.193, 41.225
18/04/20, 8.459, 20.064
19/04/20, 6.596, 15.208
20/04/20, 12.994, 45.722
21/04/20, 15.328, 45.555
22/04/20, 13.948, 46.128
23/04/20, 14.688, 43.481
24/04/20, 15.150, 41.940
25/04/20, 15.624, 48.883
26/04/20, 16.285, 45.538
27/04/20, 14.775, 38.927
28/04/20, 8.149, 17.234
29/04/20, 10.142, 21.396
30/04/20, 14.475, 33.237

01/05/20, 12.631, 30.315
02/05/20, 13.839, 38.153
03/05/20, 13.539, 27.092
04/05/20, 12.821, 33.661
05/05/20, 16.226, 54.884
06/05/20, 14.709, 50.497
07/05/20, 12.403, 36.700
08/05/20, 15.454, 35.001
09/05/20, 17.494, 46.446
10/05/20, 6.671, 13.706
11/05/20, 17.747, 42.386
12/05/20, 12.213, 25.286
13/05/20, 9.935, 19.578
14/05/20, 17.951, 54.390
15/05/20, 16.830, 49.734
16/05/20, 14.495, 32.129
17/05/20, 16.136, 43.276
18/05/20, 15.896, 47.648
19/05/20, 18.082, 49.422
20/05/20, 14.706, 45.913
21/05/20, 18.201, 47.652
22/05/20, 8.480, 18.411
23/05/20, 13.982, 38.984
24/05/20, 7.866, 15.918
25/05/20, 17.008, 45.144
26/05/20, 15.932, 47.783
27/05/20, 15.842, 46.863
28/05/20, 15.974, 51.840
29/05/20, 16.082, 50.877
30/05/20, 14.672, 49.636
31/05/20, 13.670, 49.919

01/06/20, 12.874, 46.142
02/06/20, 16.006, 41.596
03/06/20, 14.800, 38.143
04/06/20, 5.139, 10.570
05/06/20, 8.593, 19.716
06/06/20, 15.742, 39.079
07/06/20, 10.748, 24.150
08/06/20, 8.481, 18.643
09/06/20, 7.725, 16.116
10/06/20, 7.940, 16.637
11/06/20, 15.604, 35.892
12/06/20, 12.142, 23.952
13/06/20, 14.827, 48.258
14/06/20, 11.551, 25.630
15/06/20, 12.334, 27.693
16/06/20, 11.856, 25.946
17/06/20, 9.975, 19.727
18/06/20, 14.883, 37.773
19/06/20, 16.363, 37.327
20/06/20, 18.292, 43.856
21/06/20, 12.491, 29.207
22/06/20, 16.623, 44.525
23/06/20, 14.283, 50.273
24/06/20, 14.004, 50.404
25/06/20, 10.571, 48.897
26/06/20, 12.643, 33.109
27/06/20, 10.385, 29.439
28/06/20, 10.869, 38.877
29/06/20, 13.606, 32.315
30/06/20, 8.814, 18.003

01/07/20, 8.528, 21.942
02/07/20, 11.552, 28.482
03/07/20, 13.282, 35.979
04/07/20, 7.590, 14.767
05/07/20, 9.972, 24.589
06/07/20, 11.628, 37.384
07/07/20, 11.171, 25.400
08/07/20, 4.657, 9.548
09/07/20, 10.526, 24.126
10/07/20, 13.622, 35.119
11/07/20, 9.069, 24.237
12/07/20, 11.386, 47.874
13/07/20, 11.893, 48.749
14/07/20, 7.855, 16.103
15/07/20, 9.467, 24.259
16/07/20, 5.313, 11.942
17/07/20, 10.988, 23.613
18/07/20, 14.775, 39.305
19/07/20, 13.396, 48.742
20/07/20, 12.029, 45.970
21/07/20, 13.646, 47.106
22/07/20, 13.204, 44.330
23/07/20, 12.871, 38.956
24/07/20, 9.399, 22.403
25/07/20, 7.693, 16.680
26/07/20, 11.903, 34.553
27/07/20, 11.214, 29.702
28/07/20, 11.906, 33.087
29/07/20, 14.107, 45.748
30/07/20, 14.091, 47.743
31/07/20, 13.312, 44.577

01/08/20, 13.374, 31.247
02/08/20, 10.610, 27.425
03/08/20, 11.132, 34.333
04/08/20, 7.536, 42.548
05/08/20, 12.155, 46.248
06/08/20, 15.794, 43.217
07/08/20, 16.424, 43.951
08/08/20, 15.420, 36.102
09/08/20, 8.161, 24.089
10/08/20, 14.493, 33.656
11/08/20, 11.593, 23.373
12/08/20, 16.692, 34.796
13/08/20, 12.830, 25.337
14/08/20, 11.089, 26.445
15/08/20, 8.141, 23.336
16/08/20, 7.015, 19.214
17/08/20, 11.484, 30.166
18/08/20, 13.309, 31.966
19/08/20, 10.721, 27.676
20/08/20, 9.554, 20.065
21/08/20, 12.030, 40.549
22/08/20, 8.629, 24.858
23/08/20, 7.930, 18.199
24/08/20, 9.279, 22.768
25/08/20, 6.787, 14.931
26/08/20, 3.330, 6.934
27/08/20, 10.067, 25.774
28/08/20, 6.911, 20.911
29/08/20, 7.838, 18.938
30/08/20, 7.827, 17.478
31/08/20, 7.630, 20.911

01/09/20, 7.110, 13.936
02/09/20, 9.599, 30.100
03/09/20, 4.565, 9.416
04/09/20, 7.794, 17.141
05/09/20, 8.075, 29.121
06/09/20, 6.704, 15.251
07/09/20, 10.560, 24.718
08/09/20, 4.671, 9.479
09/09/20, 6.504, 18.103
10/09/20, 13.084, 38.617
11/09/20, 11.581, 30.819
12/09/20, 10.374, 34.824
13/09/20, 10.371, 34.357
14/09/20, 13.327, 32.870
15/09/20, 13.395, 31.290
16/09/20, 12.276, 31.969
17/09/20, 14.445, 34.629
18/09/20, 13.038, 33.057
19/09/20, 12.466, 29.967
20/09/20, 9.776, 23.130
21/09/20, 14.063, 32.607
22/09/20, 12.892, 30.726
23/09/20, 8.115, 16.509
24/09/20, 8.709, 18.710
25/09/20, 6.361, 14.223
26/09/20, 6.501, 13.332
27/09/20, 4.473, 9.300
28/09/20, 0.913, 1.937
29/09/20, 8.972, 23.642
30/09/20, 5.496, 11.466

01/10/20, 3.272, 7.788
02/10/20, 3.274, 6.776
03/10/20, 2.688, 6.345
04/10/20, 5.521, 11.557
05/10/20, 4.840, 10.451
06/10/20, 7.372, 15.998
07/10/20, 5.287, 12.001
08/10/20, 2.655, 5.507
09/10/20, 5.180, 11.100
10/10/20, 5.740, 12.246
11/10/20, 6.685, 15.109
12/10/20, 6.657, 15.829
13/10/20, 4.561, 10.502
14/10/20, 4.619, 9.753
15/10/20, 4.542, 9.499
16/10/20, 4.612, 9.754
17/10/20, 4.091, 8.881
18/10/20, 4.425, 9.174
19/10/20, 6.107, 13.543
20/10/20, 1.709, 3.606
21/10/20, 5.117, 10.613
22/10/20, 3.232, 6.535
23/10/20, 4.143, 8.281
24/10/20, 2.319, 5.114
25/10/20, 0.797, 1.719
26/10/20, 3.683, 8.725
27/10/20, 2.735, 5.774
28/10/20, 4.392, 9.836
29/10/20, 2.285, 4.766
30/10/20, 2.038, 4.270
31/10/20, 5.164, 13.464

01/11/20, 1.642, 3.535
02/11/20, 2.249, 4.794
03/11/20, 4.186, 10.518
04/11/20, 5.644, 12.664
05/11/20, 6.858, 12.947
06/11/20, 6.012, 12.948
07/11/20, 5.413, 11.554
08/11/20, 3.014, 6.567
09/11/20, 2.292, 6.362
10/11/20, 3.774, 9.427
11/11/20, 3.201, 8.601
12/11/20, 2.024, 4.902
13/11/20, 1.279, 2.902
14/11/20, 4.247, 8.638
15/11/20, 1.347, 3.043
16/11/20, 1.771, 3.761
17/11/20, 1.437, 3.088
18/11/20, 4.957, 9.256
19/11/20, 1.858, 4.012
20/11/20, 3.727, 9.014
21/11/20, 2.656, 6.962
22/11/20, 0.454, 0.993
23/11/20, 3.811, 4.921
24/11/20, 3.471, 7.927
25/11/20, 3.332, 7.004
26/11/20, 1.883, 3.602
27/11/20, 1.157, 2.518
28/11/20, 3.786, 4.849
29/11/20, 3.608, 5.832
30/11/20, 0.816, 1.792

01/12/20, 1.036, 2.273
02/12/20, 0.200, 0.436
03/12/20, 0.477, 1.025
04/12/20, 1.566, 3.185
05/12/20, 1.036, 3.612
06/12/20, 1.050, 2.354
07/12/20, 1.493, 3.292
08/12/20, 2.322, 5.075
09/12/20, 1.068, 2.330
10/12/20, 2.226, 3.838
11/12/20, 0.936, 2.007
12/12/20, 0.512, 1.098
13/12/20, 1.905, 5.147
14/12/20, 1.647, 3.695
15/12/20, 0.525, 1.134
16/12/20, 1.954, 4.975
17/12/20, 3.246, 5.669
18/12/20, 3.624, 6.697
19/12/20, 0.965, 2.287
20/12/20, 1.990, 4.682
21/12/20, 0.486, 1.054
22/12/20, 1.345, 2.673
23/12/20, 0.279, 0.623
24/12/20, 0.639, 1.445
25/12/20, 3.387, 6.902
26/12/20, 1.092, 2.789
27/12/20, 0.268, 0.621
28/12/20, 1.315, 2.949
29/12/20, 1.556, 3.405
30/12/20, 1.112, 2.421
31/12/20, 1.314, 2.837
